Data;Camera;Garage;Cucina;Giardino;Cantina
18-Jul-2021 19:50:00;26,2;22,3;25;26,7;24,4
18-Jul-2021 19:55:00;26,2;22,3;25;26,7;24,4
18-Jul-2021 20:00:00;26,1;22,4;24,9;26,6;24,4
18-Jul-2021 20:05:00;26,2;22,4;25;26,6;24,4
18-Jul-2021 20:10:00;26,2;22,3;25;26,7;24,4
18-Jul-2021 20:15:00;26,3;22,3;25;26,7;24,4
18-Jul-2021 20:20:00;26,2;22,3;25,1;26,5;24,4
18-Jul-2021 20:25:00;26,5;22,3;25,2;26,4;24,4
18-Jul-2021 20:30:00;26,6;22,3;25,2;26,5;24,4
18-Jul-2021 20:35:00;26,4;22,3;25,4;26,5;24,4
18-Jul-2021 20:40:00;26,4;22,3;25,5;26,6;24,4
18-Jul-2021 20:45:00;26,4;22,4;25,8;27;24,4
18-Jul-2021 20:50:00;26,4;22,4;25,6;27,3;24,4
18-Jul-2021 20:55:00;26,3;22,4;25,6;27,6;24,4
18-Jul-2021 21:00:00;26,5;22,4;25,5;27,8;24,4
18-Jul-2021 21:05:00;26,5;22,4;25,4;27,9;24,4
18-Jul-2021 21:10:00;26,6;22,4;25,3;27,9;24,4
18-Jul-2021 21:15:00;26,6;22,4;25,3;27,8;24,4
18-Jul-2021 21:20:00;26,5;22,4;25,4;27,5;24,4
18-Jul-2021 21:25:00;26,6;22,4;25,3;27,4;24,4
18-Jul-2021 21:30:00;26,8;22,3;25,3;27,4;24,4
18-Jul-2021 21:35:00;26,8;22,4;25,3;27,2;24,4
18-Jul-2021 21:40:00;26,6;22,4;25,2;27,2;24,4
18-Jul-2021 21:45:00;26,7;22,4;25,2;27,1;24,4
18-Jul-2021 21:50:00;26,6;22,3;25,2;27,1;24,4
18-Jul-2021 21:55:00;26,7;22,4;25,1;26,8;24,4
18-Jul-2021 22:00:00;26,8;22,4;25,1;26,7;24,4
18-Jul-2021 22:05:00;26,8;22,3;25,1;26,6;24,4
18-Jul-2021 22:10:00;27;22,3;25;26,5;24,4
18-Jul-2021 22:15:00;27;22,3;25,1;26,5;24,4
18-Jul-2021 22:20:00;27,1;22,3;25,1;26,4;24,4
18-Jul-2021 22:25:00;27,1;22,3;25,3;26,4;24,4
18-Jul-2021 22:30:00;27;22,3;25,4;26,3;24,4
18-Jul-2021 22:35:00;27;22,3;25,5;26,3;24,4
18-Jul-2021 22:40:00;27,1;22,3;25,5;26,3;24,3
18-Jul-2021 22:45:00;27,1;22,3;25,5;26,2;24,3
18-Jul-2021 22:50:00;27,1;22,3;25,5;26,2;24,3
18-Jul-2021 22:55:00;27,1;22,3;25,4;26,2;24,2
18-Jul-2021 23:00:00;27;22,3;25,4;26,2;24,2
18-Jul-2021 23:05:00;27;22,3;25,4;26,1;24,2
18-Jul-2021 23:10:00;27,1;22,3;25,3;26,1;24,2
18-Jul-2021 23:15:00;27,1;22,3;25,2;26,1;24,2
18-Jul-2021 23:20:00;27,1;22,3;25,2;26;24,2
18-Jul-2021 23:25:00;27,3;22,3;25,2;26;24,2
18-Jul-2021 23:30:00;27,3;22,3;25,3;25,9;24,1
18-Jul-2021 23:35:00;27,1;22,3;25,2;25,9;24,1
18-Jul-2021 23:40:00;27,1;22,3;25,3;25,8;24,1
18-Jul-2021 23:45:00;27;22,3;25,5;25,7;24,1
18-Jul-2021 23:50:00;27,1;22,2;25,7;25,6;24
18-Jul-2021 23:55:00;27,2;22,2;25,7;25,6;24
19-Jul-2021 00:00:00;27,2;22,2;25,7;25,6;23,9
19-Jul-2021 00:05:00;27,1;22,2;25,7;25,6;23,9
19-Jul-2021 00:10:00;27,1;22,1;25,7;25,5;24
19-Jul-2021 00:15:00;27,3;22,1;25,7;25,4;23,9
19-Jul-2021 00:20:00;27,3;22;25,6;25,4;23,9
19-Jul-2021 00:25:00;27,1;22;25,4;25,4;23,9
19-Jul-2021 00:30:00;27,1;22,1;25,2;25,3;23,9
19-Jul-2021 00:35:00;27,2;22;25,1;25,3;23,9
19-Jul-2021 00:40:00;27,3;22;25;25,2;23,8
19-Jul-2021 00:45:00;27,2;21,9;24,8;25,2;23,8
19-Jul-2021 00:50:00;27,1;22;24,7;25,2;23,8
19-Jul-2021 00:55:00;27,1;21,9;24,7;25,1;23,8
19-Jul-2021 01:00:00;27,1;21,9;24,7;25,1;23,8
19-Jul-2021 01:05:00;27,2;21,8;24,5;25;23,8
19-Jul-2021 01:10:00;27,1;21,8;24,5;25;23,8
19-Jul-2021 01:15:00;26,9;21,8;24,4;25;23,8
19-Jul-2021 01:20:00;27;21,8;24,5;24,9;23,7
19-Jul-2021 01:25:00;26,9;21,8;24,5;24,8;23,7
19-Jul-2021 01:30:00;26,5;21,8;24,4;24,8;23,6
19-Jul-2021 01:35:00;26,5;21,7;24,5;24,8;23,6
19-Jul-2021 01:40:00;26,6;21,8;24,5;24,8;23,6
19-Jul-2021 01:45:00;26,6;21,7;24,4;24,7;23,6
19-Jul-2021 01:50:00;26,8;21,6;24,4;24,6;23,5
19-Jul-2021 01:55:00;26,8;21,6;24,5;24,6;23,3
19-Jul-2021 02:00:00;26,9;21,7;24,4;24,6;23,4
19-Jul-2021 02:05:00;26,9;21,6;24,3;24,6;23,3
19-Jul-2021 02:10:00;27;21,6;24,3;24,5;23,5
19-Jul-2021 02:15:00;27;21,6;24,3;24,5;23,4
19-Jul-2021 02:20:00;27,1;21,5;24,2;24,5;23,4
19-Jul-2021 02:25:00;27,1;21,5;24,2;24,5;23,3
19-Jul-2021 02:30:00;27,1;21,5;24,2;24,4;23,3
19-Jul-2021 02:35:00;27,1;21,5;24,2;24,3;23,4
19-Jul-2021 02:40:00;27,1;21,5;24,2;24,3;23,5
19-Jul-2021 02:45:00;27,1;21,5;24,2;24,3;23,5
19-Jul-2021 02:50:00;27,1;21,5;24,2;24,3;23,5
19-Jul-2021 02:55:00;27,3;21,5;24,2;24,2;23,5
19-Jul-2021 03:00:00;27,2;21,5;24,2;24,2;23,5
19-Jul-2021 03:05:00;27,3;21,6;24,2;24,1;23,4
19-Jul-2021 03:10:00;27,1;21,6;24,2;24,1;23,2
19-Jul-2021 03:15:00;27,1;21,5;24,2;24,1;23,2
19-Jul-2021 03:20:00;27;21,5;24,2;24,1;23,3
19-Jul-2021 03:25:00;27,1;21,5;24,2;24;23,4
19-Jul-2021 03:30:00;27,1;21,4;24,2;24;23,2
19-Jul-2021 03:35:00;27,1;21,4;24,1;24;23,2
19-Jul-2021 03:40:00;27,1;21,4;24,1;24;23,1
19-Jul-2021 03:45:00;27,2;21,4;24,1;24;23,1
19-Jul-2021 03:50:00;27,3;21,4;24,1;23,9;23,1
19-Jul-2021 03:55:00;27,4;21,4;24,1;23,9;23,1
19-Jul-2021 04:00:00;27,2;21,3;24;23,8;23,1
19-Jul-2021 04:05:00;27,1;21,4;24,1;23,8;23
19-Jul-2021 04:10:00;27,3;21,3;24;23,8;22,8
19-Jul-2021 04:15:00;27,3;21,2;24;23,8;22,9
19-Jul-2021 04:20:00;27,4;21,2;23,9;23,8;23
19-Jul-2021 04:25:00;27,3;21,2;23,9;23,7;23
19-Jul-2021 04:30:00;27,3;21,1;23,9;23,7;23
19-Jul-2021 04:35:00;27,1;21,2;23,8;23,6;23
19-Jul-2021 04:40:00;27,4;21,1;23,8;23,6;23,2
19-Jul-2021 04:45:00;27,5;21,1;23,8;23,6;23,1
19-Jul-2021 04:50:00;27,5;21,1;23,7;23,5;23,1
19-Jul-2021 04:55:00;27,3;21,2;23,8;23,5;23,1
19-Jul-2021 05:00:00;27,3;21,2;23,9;23,5;23
19-Jul-2021 05:05:00;27,3;21,3;23,9;23,5;22,9
19-Jul-2021 05:10:00;27,2;21,2;23,9;23,5;22,9
19-Jul-2021 05:15:00;27,1;21,2;23,8;23,5;22,9
19-Jul-2021 05:20:00;27,1;21,1;23,8;23,5;22,8
19-Jul-2021 05:25:00;27,1;21,1;23,8;23,4;22,9
19-Jul-2021 05:30:00;27;21,1;23,8;23,3;23,1
19-Jul-2021 05:35:00;26,9;21,2;23,8;23,3;23
19-Jul-2021 05:40:00;26,9;21;23,7;23,3;23,1
19-Jul-2021 05:45:00;26,8;21;23,7;23,4;23
19-Jul-2021 05:50:00;26,7;21,2;23,6;23,3;23,1
19-Jul-2021 05:55:00;26,7;21,2;23,7;23,2;22,9
19-Jul-2021 06:00:00;26,9;21,1;23,7;23,2;22,8
19-Jul-2021 06:05:00;26,7;21,1;23,7;23,2;22,9
19-Jul-2021 06:10:00;26,8;21,2;23,7;23,2;22,8
19-Jul-2021 06:15:00;26,7;21,1;23,7;23,1;22,8
19-Jul-2021 06:20:00;26,5;21,1;23,7;23,1;22,9
19-Jul-2021 06:25:00;26,7;21,1;23,7;23,1;22,8
19-Jul-2021 06:30:00;26,6;21;23,7;23,1;22,8
19-Jul-2021 06:35:00;26,7;21;23,7;23,1;22,7
19-Jul-2021 06:40:00;27;21,1;23,6;23,1;22,7
19-Jul-2021 06:45:00;27;21,1;23,6;23;22,8
19-Jul-2021 06:50:00;27,1;21,1;23,6;23;22,9
19-Jul-2021 06:55:00;27;20,9;23,6;22,9;22,9
19-Jul-2021 07:00:00;26,9;20,9;23,5;22,9;22,8
19-Jul-2021 07:05:00;26,6;20,9;23,6;22,9;22,7
19-Jul-2021 07:10:00;26,8;21;23,6;22,8;22,7
19-Jul-2021 07:15:00;26,7;21;23,6;22,7;22,7
19-Jul-2021 07:20:00;26,8;20,9;23,6;22,7;22,8
19-Jul-2021 07:25:00;27;20,9;23,6;22,7;22,8
19-Jul-2021 07:30:00;26,9;20,8;23,6;22,7;23
19-Jul-2021 07:35:00;27;20,8;23,6;22,5;22,9
19-Jul-2021 07:40:00;27,1;20,9;23,7;22,5;22,9
19-Jul-2021 07:45:00;27,1;20,8;23,7;22,5;22,9
19-Jul-2021 07:50:00;27;20,9;23,7;22,4;23,1
19-Jul-2021 07:55:00;27;20,9;23,7;22,5;23,2
19-Jul-2021 08:00:00;27,1;20,8;23,7;22,6;23,1
19-Jul-2021 08:05:00;27;20,9;23,7;22,6;23,1
19-Jul-2021 08:10:00;27,1;20,9;23,7;22,6;23,2
19-Jul-2021 08:15:00;27,1;20,9;23,7;22,6;23,3
19-Jul-2021 08:20:00;27,1;20,9;23,5;22,7;23,4
19-Jul-2021 08:25:00;27,1;21;23,5;22,7;23,5
19-Jul-2021 08:30:00;27,1;21,1;23,6;22,8;23,6
19-Jul-2021 08:35:00;27,1;21,2;23,6;22,9;23,7
19-Jul-2021 08:40:00;27,1;21,2;23,6;22,8;23,7
19-Jul-2021 08:45:00;27,1;21,3;23,6;22,9;23,8
19-Jul-2021 08:50:00;27,1;21,5;23,7;23;23,8
19-Jul-2021 08:55:00;27,1;21,5;23,7;23,1;23,8
19-Jul-2021 09:00:00;27,1;21,5;23,9;23,1;23,8
19-Jul-2021 09:05:00;27,2;21,5;23,9;23,2;23,8
19-Jul-2021 09:10:00;27,2;21,5;23,9;23,4;23,8
19-Jul-2021 09:15:00;27,1;21,5;24;23,6;23,8
19-Jul-2021 09:20:00;27,1;21,5;24;23,8;23,8
19-Jul-2021 09:25:00;27,1;21,6;24,1;23,9;23,9
19-Jul-2021 09:30:00;27,2;21,6;24,1;24;23,9
19-Jul-2021 09:35:00;27,2;21,6;24,1;24,1;24
19-Jul-2021 09:40:00;27,2;21,6;24,1;24,2;24
19-Jul-2021 09:45:00;27,2;21,7;24,1;24,4;24
19-Jul-2021 09:50:00;27,2;21,7;24,1;24,3;24
19-Jul-2021 09:55:00;27,2;21,7;24;24,2;24
19-Jul-2021 10:00:00;27,3;21,7;24;24,3;24
19-Jul-2021 10:05:00;27,2;21,7;24,1;24,4;24
19-Jul-2021 10:10:00;27,2;21,7;24;24,3;24
19-Jul-2021 10:15:00;27,2;21,7;24;24,4;24
19-Jul-2021 10:20:00;27,2;21,7;24;24,4;24,2
19-Jul-2021 10:25:00;27,2;21,7;24;24,3;24,1
19-Jul-2021 10:30:00;27,3;21,7;24,1;24,3;24,2
19-Jul-2021 10:35:00;27,3;21,7;24,1;24,5;24,3
19-Jul-2021 10:40:00;27,3;21,7;24,1;24,6;24,2
19-Jul-2021 10:45:00;27,3;21,8;24,1;24,8;24,2
19-Jul-2021 10:50:00;27,3;21,8;24,1;24,9;24,2
19-Jul-2021 10:55:00;27,3;21,9;24,1;25;24,2
19-Jul-2021 11:00:00;27,3;21,9;24,1;25;24,4
19-Jul-2021 11:05:00;27,3;21,9;24,1;24,9;24,3
19-Jul-2021 11:10:00;27,2;21,9;24;24,8;24,3
19-Jul-2021 11:15:00;27,2;21,9;24;24,8;24,2
19-Jul-2021 11:20:00;27,2;22;24,1;24,6;24,2
19-Jul-2021 11:25:00;27,2;22;24;24,6;24,1
19-Jul-2021 11:30:00;27,2;21,9;24,1;24,6;24,1
19-Jul-2021 11:35:00;27,3;21,9;24,1;24,7;24,1
19-Jul-2021 11:40:00;27,2;21,9;24,2;24,6;24,2
19-Jul-2021 11:45:00;27,3;22;24,2;24,7;24,2
19-Jul-2021 11:50:00;27,2;21,9;24,2;24,8;24,2
19-Jul-2021 11:55:00;27,2;21,9;24,3;24,9;24,1
19-Jul-2021 12:00:00;27,2;21,9;24,3;25;24,1
19-Jul-2021 12:05:00;27,2;21,9;24,4;25,1;24,1
19-Jul-2021 12:10:00;27,2;21,9;24,4;25,2;24,1
19-Jul-2021 12:15:00;27,3;21,9;24,4;25,4;24,2
19-Jul-2021 12:20:00;27,2;21,9;24,5;25,6;24,1
19-Jul-2021 12:25:00;27,1;21,9;24,4;25,6;24,2
19-Jul-2021 12:30:00;27,2;21,9;24,4;25,6;24,2
19-Jul-2021 12:35:00;27,1;21,8;24,3;25,8;24,1
19-Jul-2021 12:40:00;27,2;21,8;24,4;25,9;24,2
19-Jul-2021 12:45:00;27,1;21,9;24,3;26,1;24,2
19-Jul-2021 12:50:00;27,1;21,9;24,3;26,1;24,3
19-Jul-2021 12:55:00;27,1;21,9;24,3;26,4;24,2
19-Jul-2021 13:00:00;27,1;21,9;24,3;26,4;24,2
19-Jul-2021 13:05:00;27,1;21,9;24,4;26,3;24,2
19-Jul-2021 13:10:00;27,1;22;24,4;26,4;24,2
19-Jul-2021 13:15:00;27,2;22;24,4;26,4;24,2
19-Jul-2021 13:20:00;27,1;22,1;24,5;26,4;24,2
19-Jul-2021 13:25:00;27,1;22;24,6;26,5;24,2
19-Jul-2021 13:30:00;27,1;22,1;24,6;26,7;24,2
19-Jul-2021 13:35:00;27,1;22,1;24,6;26,7;24,2
19-Jul-2021 13:40:00;27,1;22,1;24,5;26,8;24,2
19-Jul-2021 13:45:00;27,1;22,1;24,5;26,8;24,2
19-Jul-2021 13:50:00;27,1;22,1;24,5;26,7;24,2
19-Jul-2021 13:55:00;27,1;22;24,5;26,7;24,2
19-Jul-2021 14:00:00;27,1;22,1;24,4;26,8;24,2
19-Jul-2021 14:05:00;27,1;22,1;24,4;26,9;24,2
19-Jul-2021 14:10:00;27,1;22;24,4;27;24,2
19-Jul-2021 14:15:00;27,1;22;24,4;27;24,3
19-Jul-2021 14:20:00;27,1;22;24,4;27,1;24,3
19-Jul-2021 14:25:00;27,1;22;24,5;27,1;24,2
19-Jul-2021 14:30:00;27,1;22,1;24,5;27,1;24,2
19-Jul-2021 14:35:00;27,1;22;24,5;27,2;24,2
19-Jul-2021 14:40:00;27,1;22;24,5;27,1;24,3
19-Jul-2021 14:45:00;27,1;22,1;24,4;27,1;24,4
19-Jul-2021 14:50:00;27,1;22;24,5;27;24,4
19-Jul-2021 14:55:00;27,1;22;24,5;26,8;24,4
19-Jul-2021 15:00:00;26,6;22;24,5;26,8;24,4
19-Jul-2021 15:05:00;26,4;22;24,6;26,7;24,5
19-Jul-2021 15:10:00;26,3;22;24,6;26,3;24,7
19-Jul-2021 15:15:00;26,2;22,1;24,5;26,3;24,7
19-Jul-2021 15:20:00;26,2;22,1;24,4;26,3;24,7
19-Jul-2021 15:25:00;26,2;22;24,5;26,3;24,6
19-Jul-2021 15:30:00;26,3;22,1;24,4;26,3;24,5
19-Jul-2021 15:35:00;26,3;22,1;24,4;26,4;24,5
19-Jul-2021 15:40:00;26,3;22,1;24,4;26,5;24,6
19-Jul-2021 15:45:00;26,3;22,1;24,4;26,6;24,5
19-Jul-2021 15:50:00;26,1;22,1;24,4;26,5;24,7
19-Jul-2021 15:55:00;26,4;22,1;24,4;26,4;24,7
19-Jul-2021 16:00:00;26,3;22,1;24,5;26,3;24,6
19-Jul-2021 16:05:00;26,4;22,1;24,6;26,1;24,7
19-Jul-2021 16:10:00;26,2;22,1;24,6;26,1;24,7
19-Jul-2021 16:15:00;26,3;22,1;24,6;26,1;24,6
19-Jul-2021 16:20:00;26,6;22,1;24,6;26,1;24,6
